Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
26898,0.3,Premium,E,VS2,60.4,58.0,4.3,4.34,2.61,658
5953,0.32,Premium,G,VS2,62.5,60.0,4.32,4.38,2.72,561
15230,1.51,Fair,H,VS1,58.0,67.0,7.63,7.57,4.41,11263
16959,0.58,Ideal,J,SI1,61.5,55.0,5.36,5.4,3.31,1089
19804,1.01,Ideal,D,SI1,61.2,57.0,6.44,6.47,3.95,5443
929,0.34,Ideal,E,VS2,62.0,56.0,4.46,4.48,2.77,646
4454,0.7,Good,F,VS2,63.8,60.0,5.61,5.52,3.55,2290
21535,1.06,Very Good,H,VS2,60.7,59.0,6.56,6.63,4.0,5415
14883,0.71,Ideal,H,SI2,62.6,56.0,5.75,5.69,3.58,1800
24860,1.03,Ideal,H,VS2,62.3,56.0,6.46,6.44,4.02,5364
16389,1.0,Premium,G,VS1,60.9,60.0,6.45,6.42,3.92,6097
19567,0.5,Ideal,E,VVS2,61.8,53.6,5.1,5.13,3.16,2297
3713,0.73,Fair,I,VS1,55.9,66.0,6.11,6.01,3.39,2330
7728,0.31,Ideal,F,VS2,62.3,57.0,4.3,4.34,2.69,625
19301,0.4,Ideal,G,VVS1,61.2,56.0,4.74,4.8,2.92,1059
1960,0.32,Very Good,G,VS1,63.0,55.0,4.35,4.38,2.75,645
9241,0.5,Ideal,E,VS2,,55.0,5.19,5.16,3.15,1768
8746,0.9,Ideal,H,SI2,62.6,57.0,6.16,6.07,3.83,3548
4410,0.46,Very Good,E,VS2,62.1,57.0,4.89,4.93,3.05,1194
12700,0.54,Ideal,H,SI1,62.5,53.0,5.22,5.25,3.27,1227
5695,0.9,Premium,D,SI1,59.5,57.0,6.29,6.21,3.72,3689
17132,0.74,Ideal,D,SI2,61.1,57.0,5.81,5.84,3.56,2690
13321,0.72,Fair,H,SI2,66.0,60.0,5.58,5.51,3.66,1799
787,1.26,Premium,F,VS1,62.0,58.0,6.95,6.88,4.29,10669
4436,1.02,Premium,F,SI2,61.5,58.0,6.42,6.49,3.97,4459
13319,0.33,Ideal,E,VVS2,61.2,56.0,4.44,4.48,2.73,814
6868,0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56,2762
61,0.51,Ideal,F,VVS2,62.6,57.0,5.13,5.1,3.2,2203
11035,1.12,Very Good,E,VS2,62.8,57.0,6.61,6.64,4.16,7589
8645,0.41,Premium,F,VVS2,60.1,59.0,4.82,4.79,2.89,1192
4359,1.0,Good,I,VS2,61.7,60.2,6.29,6.35,3.9,4761
16864,0.27,Ideal,E,VVS1,61.7,57.0,4.16,4.14,2.56,846
4615,0.31,Ideal,H,VS2,61.5,57.0,4.38,4.33,2.68,628
14475,1.05,Ideal,D,SI2,61.9,56.0,6.53,6.5,4.03,5204
4010,0.31,Ideal,G,VVS1,62.8,57.0,4.33,4.3,2.71,977
17568,0.61,Very Good,D,VVS2,59.6,57.0,5.56,5.58,3.32,2763
7412,1.28,Ideal,F,VVS2,62.2,56.0,6.95,6.91,4.32,12958
1981,0.32,Ideal,D,VVS1,61.3,57.0,4.42,4.39,2.7,1140
12336,0.31,Premium,E,VS1,61.9,58.0,4.31,4.32,2.67,734
26351,2.08,Very Good,H,SI2,59.0,59.0,8.37,8.41,4.95,15696
9423,0.31,Premium,G,SI2,62.3,57.0,4.37,4.33,2.71,523
10431,0.33,Ideal,F,VS1,62.8,55.0,4.41,4.45,2.78,765
14804,1.01,Ideal,I,SI2,62.4,57.0,6.37,6.41,3.99,4336
12809,0.9,Good,D,SI2,62.3,58.0,6.05,6.27,3.84,3806
20943,0.41,Premium,E,VVS1,62.9,59.0,4.76,4.72,2.98,1431
23845,0.7,Premium,G,VS1,62.6,60.0,5.58,5.66,3.52,2512
12766,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1600
20659,1.5,Premium,G,VS2,62.5,59.0,7.28,7.32,4.56,12196
24768,0.36,Ideal,E,VVS2,62.1,56.0,4.53,4.58,2.83,873
23865,0.73,Premium,G,VS1,61.5,58.0,5.79,5.75,3.55,2770
2749,0.63,Very Good,H,VVS2,63.2,60.0,5.49,5.39,3.44,1932
6800,0.33,Ideal,H,VS1,61.5,56.0,4.47,4.44,2.74,743
8614,2.0,Very Good,J,VS1,61.0,51.6,8.14,8.18,4.97,13203
6173,0.34,Ideal,E,VVS1,62.2,56.0,4.49,4.45,2.78,1084
12653,0.53,Very Good,F,VS2,59.2,58.0,5.29,5.31,3.14,1693
16452,1.01,Premium,H,SI1,58.2,62.0,6.54,6.48,3.78,4191
7157,0.3,Premium,G,VS2,62.2,60.0,4.25,4.24,2.64,675
23930,0.32,Ideal,D,VS2,61.5,56.0,4.42,4.39,2.71,972
402,0.26,Very Good,E,VVS2,61.4,57.0,4.1,4.13,2.52,506
17470,0.31,Ideal,F,VS2,61.9,55.0,4.31,4.35,2.68,625
9408,0.53,Very Good,G,VS1,62.2,59.0,5.14,5.18,3.21,1664
25620,1.24,Ideal,H,VS2,61.4,57.0,6.92,6.88,4.24,5683
1321,0.39,Ideal,E,SI1,60.6,57.0,4.75,4.79,2.89,677
1712,0.71,Good,G,SI1,63.6,56.0,5.65,5.67,3.6,2428
13969,1.04,Premium,I,VS1,61.6,56.0,6.59,6.52,4.04,4892
1134,1.39,Premium,G,SI1,,59.0,7.24,7.15,4.41,7991
8558,1.0,Very Good,D,SI2,62.3,56.0,6.33,6.39,3.96,4348
2679,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
20234,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,14483
10741,0.61,Ideal,G,VVS2,60.1,57.0,5.52,5.54,3.32,2816
2396,0.36,Ideal,F,IF,61.4,55.9,4.58,4.62,2.82,1138
22687,1.05,Ideal,G,VS1,62.5,56.0,6.48,6.54,4.07,7037
14486,0.7,Ideal,G,SI1,62.0,56.0,5.66,5.69,3.52,2699
11540,0.77,Good,E,SI2,58.1,63.0,6.02,6.06,3.5,2371
8137,0.51,Premium,F,VS1,61.4,58.0,5.18,5.15,3.17,1836
17902,0.41,Ideal,F,VS1,61.3,57.0,4.79,4.77,2.93,1076
12880,2.0,Premium,H,SI2,62.5,58.0,8.14,8.03,5.05,12940
14243,0.31,Ideal,D,VVS2,62.0,56.0,4.35,4.37,2.7,1034
25716,0.26,Ideal,E,VVS1,61.7,56.0,4.11,4.09,2.53,814
4194,0.3,Premium,G,VS1,61.7,60.0,4.28,4.24,2.63,776
26785,1.01,Fair,G,SI2,58.7,67.0,6.52,6.56,3.84,3816
11890,0.33,Ideal,G,VVS2,62.6,53.0,4.45,4.43,2.78,901
2614,1.05,Premium,H,VS2,60.5,58.0,6.7,6.63,4.03,4739
17678,0.38,Very Good,D,VS2,58.8,61.0,4.72,4.77,2.79,871
12996,0.5,Premium,F,VVS2,62.3,58.0,5.11,5.06,3.17,2160
10770,0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
11038,0.34,Very Good,E,VS2,58.8,59.0,4.56,4.59,2.69,745
17008,0.54,Premium,E,SI1,62.2,58.0,5.26,5.23,3.26,1637
2740,0.3,Ideal,G,IF,60.9,57.0,4.29,4.32,2.62,895
25041,1.05,Ideal,I,VS2,60.3,57.0,6.57,6.63,3.98,5697
18482,0.72,Good,E,SI1,63.9,58.0,5.72,5.64,3.63,2305
19844,1.0,Premium,D,SI1,59.2,62.0,6.54,6.49,3.86,5723
20526,1.62,Good,I,VS1,59.6,65.0,7.69,7.59,4.55,9526
21767,0.26,Ideal,F,VS1,62.3,56.0,4.08,4.1,2.55,452
17772,0.71,Very Good,D,VS1,62.5,58.0,5.68,5.71,3.56,3333
9148,1.61,Premium,G,SI1,62.6,58.0,7.48,7.45,4.67,11303
19388,0.4,Ideal,I,VVS2,61.9,56.4,4.72,4.74,2.93,728
10500,0.53,Very Good,D,SI1,60.9,59.0,5.18,5.2,3.16,1415
20940,0.52,Ideal,E,VVS2,61.3,56.0,5.18,5.2,3.18,2675
7124,1.02,Premium,E,SI1,62.6,58.0,6.44,6.47,4.05,5183
11415,0.33,Ideal,I,SI1,63.0,57.0,4.39,4.37,2.76,557
3640,0.4,Ideal,E,VS2,62.4,56.0,4.74,4.71,2.95,975
26531,0.41,Ideal,G,IF,61.7,56.0,4.77,4.8,2.95,1367
2461,0.51,Premium,E,VS1,62.0,61.0,5.14,5.11,3.18,1758
4691,1.23,Very Good,F,SI2,60.9,58.0,6.93,6.96,4.23,4661
13265,1.1,Ideal,E,SI2,,56.0,6.64,6.61,4.08,5174
17607,1.01,Premium,E,SI2,59.6,61.0,6.59,6.56,3.92,4434
19236,1.13,Premium,H,VS2,,59.0,6.63,6.58,4.15,5571
2618,0.23,Very Good,E,VVS1,62.2,57.0,3.93,3.96,2.45,583
22686,1.3,Premium,G,VS2,62.5,58.0,6.97,6.93,4.36,9120
24622,1.28,Ideal,G,IF,61.7,56.0,6.95,6.99,4.3,13360
14527,0.5,Ideal,E,VS1,62.2,56.0,5.1,5.13,3.18,1619
8763,0.54,Ideal,H,SI2,61.6,56.0,5.25,5.28,3.24,1073
3416,0.3,Ideal,G,VVS2,60.6,57.0,4.33,4.35,2.63,684
3023,1.06,Premium,J,SI2,62.9,59.0,6.43,6.39,4.03,3391
24333,0.79,Ideal,F,SI1,62.5,57.0,5.88,5.92,3.69,2976
3426,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.39,2.73,900
23875,0.41,Ideal,G,VVS1,62.2,54.0,4.79,4.82,2.99,1076
23494,1.0,Fair,I,I1,66.9,57.0,6.15,6.03,4.09,1997
10579,0.52,Ideal,G,VVS1,60.6,57.0,5.21,5.26,3.17,2387
23887,1.08,Good,D,SI1,63.8,59.0,6.47,6.39,4.1,5927
1250,0.31,Good,I,SI1,63.8,55.0,4.31,4.34,2.76,408
15382,1.71,Good,F,SI2,63.7,54.0,7.6,7.49,4.81,6971
9133,1.08,Premium,E,SI1,59.6,60.0,6.73,6.66,3.99,5908
8981,0.55,Ideal,G,VS2,61.4,56.3,5.26,5.29,3.24,1662
15172,1.07,Very Good,D,VS1,59.9,55.0,6.69,6.71,4.01,9681
5776,0.9,Premium,G,VS2,61.7,59.0,6.14,6.22,3.81,4269
8609,2.14,Ideal,E,SI2,62.7,55.0,8.26,8.21,5.16,13065
20901,0.7,Very Good,D,VS2,63.0,56.0,5.61,5.69,3.56,2960
14870,0.32,Ideal,I,VVS2,62.6,54.0,4.41,4.37,2.75,720
5937,0.4,Good,D,VVS2,60.8,62.0,4.74,4.77,2.89,1080
19037,0.24,Very Good,E,VVS2,57.7,61.0,4.12,4.13,2.38,478
14016,0.9,Good,I,SI1,63.8,57.0,6.06,6.13,3.89,2823
16914,2.0,Premium,H,SI2,61.5,61.0,8.13,8.1,4.99,13134
17060,1.06,Good,G,VS2,63.1,59.0,6.45,6.48,4.08,6212
12558,1.0,Very Good,E,I1,63.0,57.0,6.32,6.35,3.99,3300
1035,0.9,Premium,E,SI2,59.5,61.0,6.3,6.24,3.73,3084
19170,1.52,Premium,H,VVS2,61.2,58.0,7.48,7.41,4.56,11979
23999,1.57,Ideal,I,SI1,62.0,59.0,7.41,7.45,4.61,9095
7745,0.51,Ideal,E,SI1,61.4,56.0,5.14,5.16,3.16,1732
20818,0.59,Premium,D,SI2,61.2,60.0,5.42,5.37,3.3,1572
15600,0.91,Premium,G,SI2,60.4,61.0,6.28,6.21,3.77,3376
5014,0.73,Premium,E,SI1,62.7,58.0,5.76,5.7,3.59,2703
17639,1.64,Very Good,H,SI2,60.7,59.0,7.61,7.65,4.63,9632
13964,0.7,Ideal,F,VVS1,61.7,56.0,5.68,5.73,3.52,4951
5067,0.3,Very Good,D,VS2,62.8,59.0,4.26,4.28,2.68,710
23645,0.48,Very Good,D,VVS2,59.5,57.0,5.16,5.12,3.06,2329
21337,0.33,Ideal,D,SI2,61.1,57.0,4.5,4.47,2.74,631
215,1.52,Premium,I,SI1,61.9,58.0,7.42,7.37,4.58,8631
11909,0.81,Very Good,I,VS2,62.6,59.7,5.86,5.92,3.69,2444
938,0.41,Ideal,G,IF,62.4,54.0,4.77,4.82,2.99,1259
1841,1.02,Very Good,E,VS2,62.5,57.0,6.36,6.41,3.99,6816
5914,1.08,Ideal,H,SI2,59.3,57.0,6.74,6.71,3.99,4536
18589,0.5,Premium,H,SI2,61.0,58.0,5.14,5.05,3.11,958
11449,0.39,Ideal,D,VS1,61.9,57.0,4.71,4.69,2.91,1170
994,0.3,Very Good,E,SI1,62.9,56.0,4.24,4.31,2.69,526
6938,0.51,Ideal,F,VVS2,61.2,56.0,5.19,5.17,3.17,2203
10039,1.5,Premium,E,VS2,61.8,59.0,7.38,7.31,4.54,14925
16933,0.32,Premium,E,SI1,61.6,56.0,4.41,4.39,2.71,720
1435,1.04,Ideal,J,SI1,61.1,57.0,6.57,6.52,4.0,3931
14684,0.32,Very Good,H,VS1,63.0,55.0,4.4,4.42,2.78,561
20910,1.55,Very Good,F,VS1,61.6,56.0,7.38,7.45,4.57,15658
18792,0.31,Ideal,H,VS1,62.0,53.0,4.34,4.37,2.7,562
13721,0.7,Good,H,SI1,65.4,59.0,5.46,5.52,3.59,1840
13141,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,743
19878,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89,15939
8294,0.74,Ideal,F,VVS2,61.5,55.0,5.85,5.82,3.59,3879
2442,0.3,Premium,H,VS1,61.0,58.0,4.31,4.28,2.62,675
26197,1.12,Premium,H,SI2,61.0,56.0,6.68,6.65,4.07,4077
4075,0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
3861,0.41,Ideal,E,VS1,,55.0,4.77,4.8,2.97,1079
8776,0.41,Ideal,F,VS1,61.3,57.0,4.77,4.79,2.93,1007
18341,1.0,Very Good,F,SI1,63.2,54.0,6.3,6.23,3.96,4088
2033,0.7,Ideal,F,SI1,62.6,55.0,5.67,5.7,3.56,2410
15411,0.7,Premium,D,SI2,58.3,61.0,5.74,5.7,3.33,2167
1879,0.52,Premium,E,VS1,61.6,58.0,5.14,5.18,3.18,1668
1272,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,844
19645,0.7,Ideal,I,VS1,62.1,57.0,5.69,5.71,3.54,2398
23205,0.34,Ideal,G,VS2,61.9,55.0,4.53,4.49,2.79,765
23525,1.31,Ideal,G,VS1,61.5,57.0,7.02,7.06,4.33,9891
9893,0.47,Ideal,I,VS2,62.1,54.0,4.99,5.03,3.11,884
6904,0.3,Ideal,D,VVS2,61.6,58.0,4.29,4.32,2.65,814
3063,0.24,Ideal,F,VVS2,61.8,56.0,3.97,4.02,2.47,552
21691,0.7,Ideal,F,VS2,61.3,56.0,5.74,5.71,3.51,2717
20204,1.01,Ideal,I,VS1,62.9,56.0,6.43,6.38,4.03,4118
25043,0.44,Ideal,H,IF,61.4,55.0,4.92,4.95,3.03,1177
12281,0.7,Ideal,F,SI1,61.8,54.0,5.71,5.75,3.54,2635
1281,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,776
2014,0.44,Ideal,D,VS1,61.3,56.0,4.92,4.87,3.0,1294
26043,0.54,Ideal,E,VS1,62.0,56.0,5.26,5.23,3.25,2041
11614,1.0,Premium,H,VS1,59.1,60.0,6.45,6.42,3.8,4732
23717,0.8,Ideal,D,VS2,61.0,57.0,5.96,6.0,3.65,4170
19507,0.71,Very Good,G,VS2,62.9,57.0,5.69,5.72,3.59,2598
8703,0.72,Ideal,F,SI2,,57.0,5.74,5.79,3.57,2058
10301,0.41,Very Good,G,VS2,62.7,60.0,4.71,4.75,2.96,835
25978,0.4,Ideal,E,VS2,62.2,55.0,4.71,4.77,2.95,1090
13643,0.75,Very Good,F,SI1,62.3,58.0,5.8,5.86,3.63,2573
25549,0.4,Very Good,E,VS2,62.2,58.0,4.67,4.72,2.92,912
682,0.71,Ideal,I,IF,61.5,56.0,5.74,5.77,3.54,2925
13806,0.54,Ideal,D,VVS1,61.3,56.0,5.24,5.26,3.22,4042
5451,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,794
3845,0.5,Fair,F,I1,71.0,57.0,4.87,4.79,3.43,613
17764,1.52,Premium,I,SI2,59.8,62.0,7.47,7.41,4.45,8010
909,0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,714
12889,0.32,Ideal,G,IF,61.8,55.0,4.41,4.43,2.73,954
26569,0.4,Fair,G,VS2,64.6,55.0,4.62,4.64,2.99,722
4941,0.31,Ideal,I,VS1,61.7,55.0,4.36,4.39,2.7,424
20727,0.3,Ideal,D,SI1,61.9,57.0,4.28,4.32,2.66,524
24208,0.9,Good,G,SI1,63.9,60.0,6.1,6.07,3.89,3512
18213,0.83,Ideal,D,VS2,62.0,54.9,6.03,6.04,3.74,4378
4700,0.3,Ideal,E,VVS2,62.3,54.1,4.28,4.34,2.69,779
20801,1.51,Good,I,SI2,63.6,60.0,7.23,7.27,4.61,7815
9626,2.26,Ideal,H,SI2,62.2,56.0,8.38,8.35,5.2,17312
15462,0.71,Very Good,F,VS2,59.5,58.0,5.82,5.87,3.48,2918
1312,0.3,Ideal,G,SI1,60.6,57.0,4.34,4.37,2.63,487
26749,0.31,Premium,G,VVS1,61.1,58.0,4.35,4.32,2.65,1046
5185,0.64,Ideal,I,SI2,61.2,55.0,5.54,5.6,3.41,1257
7839,0.25,Ideal,F,SI1,61.5,56.0,4.06,4.09,2.5,430
4600,0.32,Very Good,I,VS2,61.1,57.0,4.39,4.42,2.69,449
1380,1.6,Very Good,G,VS2,61.0,57.0,7.55,7.59,4.62,14383
26515,1.55,Premium,H,VS2,60.7,58.0,7.51,7.47,4.55,11567
24156,0.24,Very Good,D,VVS2,62.4,58.0,3.94,4.01,2.48,552
19767,0.3,Premium,G,VVS1,61.7,58.0,4.3,4.26,2.64,1013
14053,0.4,Very Good,E,SI2,63.1,57.0,4.72,4.7,2.97,798
6970,0.3,Very Good,H,SI1,60.1,55.0,4.38,4.41,2.64,432
8183,0.51,Premium,J,SI1,62.6,59.0,5.1,5.06,3.18,1020
24252,1.01,Premium,I,I1,59.2,57.0,6.58,6.44,3.85,2017
12598,0.36,Premium,E,SI1,62.2,59.0,4.53,4.57,2.83,589
10021,0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1726
2532,1.7,Premium,F,SI2,61.8,60.0,7.64,7.56,4.7,10377
14538,0.54,Ideal,H,VS2,62.0,54.0,5.22,5.27,3.25,1378
20874,1.2,Premium,H,SI2,62.3,58.0,6.76,6.81,4.23,5280
23445,1.23,Premium,D,VS2,59.3,59.0,7.03,6.96,4.15,9836
11497,0.33,Very Good,G,SI2,60.0,56.0,4.52,4.55,2.73,460
26232,0.52,Very Good,H,VS2,63.5,58.0,5.08,5.09,3.23,1389
3190,0.3,Premium,H,VS1,62.4,60.0,4.29,4.23,2.66,630
26947,0.9,Very Good,D,SI2,60.3,63.0,6.22,6.12,3.72,3473
19353,0.4,Premium,F,SI1,61.2,58.0,4.74,4.71,2.89,945
6785,1.37,Premium,H,VS1,60.9,59.0,7.24,7.17,4.39,8577
26585,2.02,Premium,F,SI2,61.7,58.0,8.15,8.11,5.02,18487
14333,2.01,Premium,I,SI1,60.9,60.0,8.1,8.06,4.92,15528
26955,0.5,Good,G,VVS2,63.8,56.0,5.06,5.03,3.22,1806
19117,0.72,Ideal,E,VS1,61.2,56.0,5.78,5.83,3.55,3409
21728,1.66,Good,J,VS2,64.4,54.0,7.45,7.54,4.83,8496
86,0.76,Ideal,H,VS2,61.9,55.0,5.85,5.88,3.64,3016
24199,0.72,Premium,F,VS2,62.1,57.0,5.73,5.71,3.55,2724
20870,0.31,Ideal,H,VVS1,61.9,55.0,4.38,4.41,2.72,687
3716,0.29,Very Good,F,VS1,63.0,55.0,4.24,4.27,2.68,504
6737,1.18,Premium,J,VS2,62.8,59.0,6.78,6.69,4.23,3913
22638,1.21,Ideal,H,SI1,60.7,57.0,6.85,6.89,4.17,7810
13147,0.39,Ideal,E,VS1,62.3,54.4,4.66,4.69,2.91,1004
20209,0.92,Premium,E,SI1,62.2,58.0,6.18,6.23,3.86,4562
14481,0.42,Ideal,D,VVS2,61.4,56.0,4.85,4.82,2.97,1389
26668,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,6332
5601,0.7,Premium,H,SI2,61.0,59.0,5.76,5.71,3.5,1974
4161,0.32,Very Good,F,VVS1,61.9,59.0,4.34,4.39,2.7,926
10352,0.33,Premium,F,VS2,60.1,58.0,4.47,4.45,2.68,854
17779,0.24,Very Good,E,VVS1,62.8,59.0,3.94,3.96,2.48,485
23111,0.3,Very Good,G,VS1,62.8,59.0,4.23,4.27,2.67,605
3868,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,802
7953,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.37,2.72,900
8263,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,17224
14266,1.07,Ideal,E,SI2,61.5,56.0,6.58,6.61,4.06,5602
15538,0.4,Very Good,E,IF,62.9,58.0,4.68,4.77,2.97,1207
11953,0.3,Ideal,H,VS2,61.9,54.6,4.27,4.33,2.67,486
22577,0.3,Ideal,G,VS2,62.3,58.0,4.26,4.28,2.66,545
10273,0.4,Ideal,I,VVS1,60.5,57.0,4.76,4.79,2.89,842
21430,0.72,Very Good,J,SI1,62.7,56.0,5.66,5.72,3.57,1666
3307,0.3,Good,G,VVS2,63.8,56.0,4.29,4.27,2.73,878
8724,0.58,Ideal,E,VS2,62.1,55.0,5.35,5.34,3.32,1761
3970,0.74,Fair,F,VS2,61.1,68.0,5.82,5.75,3.53,2805
6002,0.7,Premium,G,VS2,60.8,58.0,5.75,5.8,3.51,2317
2836,0.7,Fair,F,SI1,64.8,60.0,5.57,5.54,3.6,2167
22970,1.63,Ideal,G,SI2,62.6,53.0,7.55,7.49,4.71,10680
22436,1.21,Very Good,H,SI2,61.1,60.0,6.86,6.91,4.21,4991
24836,0.3,Ideal,G,VVS1,62.3,54.0,4.31,4.33,2.69,789
8310,1.04,Premium,E,SI2,61.0,60.0,6.57,6.52,3.99,4240
2615,0.42,Ideal,F,VVS1,62.0,55.0,4.81,4.84,2.99,1326
18776,1.0,Premium,H,SI2,62.7,58.0,6.33,6.31,3.96,4200
13627,1.14,Premium,H,VS2,61.7,60.0,6.74,6.67,4.14,5937
381,0.32,Very Good,H,VVS1,61.2,57.0,4.39,4.42,2.69,672
11855,0.7,Premium,G,VS1,61.0,59.0,5.68,5.77,3.49,2512
16651,1.01,Premium,E,SI2,,60.0,6.49,6.46,3.91,4878
26212,0.34,Very Good,H,VVS2,63.1,57.0,4.41,4.49,2.81,674
1414,1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36,5759
11599,0.5,Premium,G,VVS2,59.6,60.0,5.15,5.18,3.08,1838
23120,1.1,Very Good,E,SI1,61.3,58.0,6.64,6.71,4.09,4791
10815,0.56,Ideal,F,VS2,60.8,56.0,5.33,5.3,3.23,1778
23320,1.84,Premium,H,SI2,61.0,58.0,7.97,7.87,4.81,7922
21958,0.55,Ideal,F,SI2,62.3,57.0,5.22,5.27,3.27,1175
8781,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,7697
5290,0.33,Premium,I,VVS2,61.4,58.0,4.45,4.48,2.74,579
17543,1.02,Ideal,D,VS1,62.6,57.0,6.4,6.44,4.02,8347
5624,0.54,Ideal,D,VS2,61.6,55.0,5.25,5.27,3.24,2307
12909,0.31,Very Good,H,VS2,58.9,61.0,4.43,4.46,2.62,457
3959,0.9,Very Good,E,SI1,63.1,61.0,6.18,6.14,3.89,4092
2866,1.32,Ideal,G,VVS2,62.3,57.0,6.96,7.04,4.36,11419
15846,1.02,Very Good,F,SI1,62.1,63.0,6.48,6.36,3.99,5038
16171,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,724
11442,0.58,Ideal,E,VVS2,60.9,56.0,5.41,5.43,3.3,2808
16613,1.37,Ideal,F,VS1,59.6,57.0,7.28,7.22,4.32,11649
9328,1.02,Very Good,J,VS2,59.3,58.0,6.56,6.62,3.91,3796
10479,0.73,Ideal,E,SI2,62.1,57.0,5.75,5.71,3.56,2155
22055,0.44,Premium,H,VS2,61.3,58.0,4.91,4.88,3.0,1040
16031,0.73,Ideal,H,IF,62.2,54.0,5.76,5.82,3.6,3301
4715,2.04,Ideal,J,SI1,61.7,57.0,8.11,8.17,5.02,14130
5577,1.52,Premium,D,VS1,61.0,59.0,7.48,7.53,4.5,17723
17295,1.52,Ideal,I,VVS1,61.9,56.0,7.37,7.34,4.55,11168
17908,0.34,Premium,I,SI1,60.0,58.0,4.55,4.51,2.72,589
2481,1.47,Premium,H,SI2,59.3,59.0,7.39,7.34,4.37,7573
6412,1.36,Very Good,G,VVS2,60.8,60.0,7.12,7.16,4.34,11774
6847,1.05,Ideal,F,SI2,60.3,55.0,6.55,6.68,3.99,4987
5020,0.55,Ideal,G,VS1,61.3,57.0,5.28,5.25,3.23,1792
13833,0.34,Premium,D,VS2,60.4,60.0,4.51,4.56,2.74,805
5084,0.78,Very Good,D,VS2,62.2,56.0,5.85,5.91,3.66,3668
12255,1.01,Premium,G,SI2,61.9,59.0,6.46,6.39,3.98,4327
24041,0.5,Good,H,VS2,56.3,65.0,5.21,5.24,2.94,1239
26407,0.32,Ideal,G,VVS2,61.7,57.0,4.41,4.44,2.73,730
6164,0.9,Premium,F,SI1,62.6,62.0,6.13,6.11,3.83,3437
6267,0.31,Very Good,D,VVS1,61.1,56.0,4.35,4.42,2.68,826
